unit_path,street,unit,wp_hausgeld,wp_ruecklage,wp_total,canonical_key,match_confidence,matched_inventory_unit_id
Residenzstr. 129/WE15,Residenzstr. 129,WE15,245.5,89.0,334.5,RESIDENZSTR_129_WE15,exact,RESIDENZSTR_129_WE15
Bornholmerstr. 80/WE 28,Bornholmerstr. 80,WE 28,312.0,104.0,416.0,BORNHOLMERSTR_80_WE28,exact,BORNHOLMERSTR_80_WE28
Residenzstr. 129/WE06,Residenzstr. 129,WE06,198.0,72.0,270.0,RESIDENZSTR_129_WE6,exact,RESIDENZSTR_129_WE6
Bornholmerstr. 80/WE 03,Bornholmerstr. 80,WE 03,275.0,95.0,370.0,BORNHOLMERSTR_80_WE3,exact,BORNHOLMERSTR_80_WE3
Bornholmerstr. 80/WE 12,Bornholmerstr. 80,WE 12,289.0,98.0,387.0,BORNHOLMERSTR_80_WE12,exact,BORNHOLMERSTR_80_WE12
Residenzstr. 129/WE07,Residenzstr. 129,WE07,220.0,80.0,300.0,RESIDENZSTR_129_WE7,exact,RESIDENZSTR_129_WE7
Bornholmerstr. 80/WE 22,Bornholmerstr. 80,WE 22,301.0,102.0,403.0,BORNHOLMERSTR_80_WE22,exact,BORNHOLMERSTR_80_WE22
Bornholmerstr. 80/WE 04,Bornholmerstr. 80,WE 04,260.0,90.0,350.0,BORNHOLMERSTR_80_WE4,exact,BORNHOLMERSTR_80_WE4
Residenzstr. 129/WE09,Residenzstr. 129,WE09,235.0,85.0,320.0,RESIDENZSTR_129_WE9,exact,RESIDENZSTR_129_WE9
Bornholmerstr. 80/WE 31,Bornholmerstr. 80,WE 31,330.0,110.0,440.0,BORNHOLMERSTR_80_WE31,exact,BORNHOLMERSTR_80_WE31
Residenzstr. 129/WE11,Residenzstr. 129,WE11,215.0,78.0,293.0,RESIDENZSTR_129_WE11,exact,RESIDENZSTR_129_WE11
Bornholmerstr. 80/WE 17,Bornholmerstr. 80,WE 17,295.0,100.0,395.0,BORNHOLMERSTR_80_WE17,exact,BORNHOLMERSTR_80_WE17
Residenzstr. 129/WE02,Residenzstr. 129,WE02,185.0,68.0,253.0,RESIDENZSTR_129_WE2,exact,RESIDENZSTR_129_WE2
Bornholmerstr. 80/WE 19,Bornholmerstr. 80,WE 19,308.0,105.0,413.0,BORNHOLMERSTR_80_WE19,exact,BORNHOLMERSTR_80_WE19
Residenzstr. 129/WE08,Residenzstr. 129,WE08,228.0,82.0,310.0,RESIDENZSTR_129_WE8,exact,RESIDENZSTR_129_WE8
